what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev.debug,2.2.1.2011071313,"org.python.pydev.debug",1315583591351
started,bundle,org.python.pydev.django,2.2.1.2011071313,"org.python.pydev.django",1315583591351
started,bundle,org.python.pydev.jython,2.2.1.2011071313,"org.python.pydev.jython",1315583591351
started,bundle,org.python.pydev.parser,2.2.1.2011071313,"org.python.pydev.parser",1315583591351
started,bundle,org.python.pydev.red_core,2.2.1.2011071313,"org.python.pydev.red_core",1315583591351
started,bundle,org.python.pydev.refactoring,2.2.1.2011071313,"org.python.pydev.refactoring",1315583591351
os,sysinfo,,,"linux",1315583591367
arch,sysinfo,,,"x86",1315583591367
ws,sysinfo,,,"gtk",1315583591367
locale,sysinfo,,,"en_US",1315583591367
processors,sysinfo,,,"2",1315583591367
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315583591367
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1315583591367
java.specification.name,sysinfo,,,"Java Platform API Specification",1315583591367
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315583591367
java.specification.version,sysinfo,,,"1.6",1315583591367
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1315583591367
java.version,sysinfo,,,"1.6.0_26",1315583591367
java.vm.info,sysinfo,,,"mixed mode, sharing",1315583591367
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1315583591367
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315583591367
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315583591367
java.vm.specification.version,sysinfo,,,"1.0",1315583591367
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1315583591367
java.vm.version,sysinfo,,,"20.1-b02",1315583591367
activated,perspective,org.python.pydev,,"org.python.pydev.ui.PythonPerspective",1315583829281
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1315583829282
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1315583829283
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1315583829283
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1315583829283
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1315583829283
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1315583829283
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1315583829283
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1315583829283
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1315583829283
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1315583829283
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1315583829283
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1315583829283
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1315583829283
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1315583829283
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1315583829283
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1315583829283
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1315583829283
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1315583829283
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1315583829283
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1315583829283
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1315583829283
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1315583829283
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1315583829283
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1315583829283
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1315583829283
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1315583829283
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1315583829283
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1315583829283
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1315583829283
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1315583829283
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1315583829283
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1315583829283
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1315583829283
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1315583829283
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1315583829283
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1315583829283
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1315583829283
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1315583829283
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1315583829283
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1315583829283
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1315583829283
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1315583829283
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1315583829283
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1315583829283
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1315583829283
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1315583829283
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1315583829283
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1315583829283
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1315583829283
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1315583829283
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1315583829283
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1315583829283
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1315583829283
